security_code,issuer_name,security_id,security_name,status,group,face_value,isin_number,industry,sector_name,group_name,sub_group_name
521180,super spinning mills ltd.,superspin,super spinning mills ltd.,Active,B,1,ine662a01027,textiles,consumer discretionary,textiles & apparels,other textile products
521188,united textiles ltd.,unitedte,united textiles ltd.,Active,XT,10,ine727e01012,textiles,consumer discretionary,textiles & apparels,other textile products
521194,sil investments ltd,silinv,sil investments ltd.,Active,B,10,ine923a01015,financial services,financial services,finance,investment company
521200,suryalakshmi cotton mills ltd.,suryalaxmi,suryalakshmi cotton mills ltd.,Active,B,10,ine713b01026,textiles,consumer discretionary,textiles & apparels,other textile products
521206,samtex fashions ltd.,samtex,samtex fashions ltd.,Active,X,2,ine931d01020,textiles,consumer discretionary,textiles & apparels,garments & apparels
521210,cityman limited,cityman,cityman ltd.,Active,XT,10,ine117c01010,consumer durables,consumer discretionary,consumer durables,gems jewellery and watches
521216,dhanalaxmi roto spinners ltd.,dhanroto,dhanalaxmi roto spinners ltd.,Active,X,10,ine220c01012,textiles,consumer discretionary,textiles & apparels,other textile products
521220,damodar industries limited,damoindus,damodar industries ltd.,Active,B,5,ine497d01022,textiles,consumer discretionary,textiles & apparels,other textile products
521222,sanblue corporation limited,sanblue,sanblue corporation ltd.,Active,X,10,ine602d01027,textiles,consumer discretionary,textiles & apparels,trading - textile products
521226,uniroyal industries ltd,uniroyal,uniroyal industries ltd.,Active,X,10,ine980d01019,textiles,consumer discretionary,textiles & apparels,other textile products
521228,tatia global vennture limited,tatiaglob,tatia global vennture ltd.,Active,X,1,ine083g01031,realty,consumer discretionary,realty,residential commercial projects
521232,sunil industries ltd.,suniltx,sunil industries ltd.,Active,P,10,ine124m01015,services,services,commercial services & supplies,trading & distributors
521234,sri nachammai cotton mills ltd.,srinacha,sri nachammai cotton mills ltd.,Active,X,10,ine443e01016,textiles,consumer discretionary,textiles & apparels,other textile products
521240,sambandam spinning mills ltd.,sambandam,sambandam spinning mills ltd.,Active,X,10,ine304d01012,textiles,consumer discretionary,textiles & apparels,other textile products
521242,kandagiri spinning mills ltd.,kandagiri,kandagiri spinning mills ltd.,Active,X,10,ine292d01019,textiles,consumer discretionary,textiles & apparels,other textile products
521248,kitex garmenets ltd.,kitex,kitex garments ltd.,Active,B,1,ine602g01020,textiles,consumer discretionary,textiles & apparels,garments & apparels
